https://www.ctcrash.uconn.edu/QueryTool2.action?qid=180309
"CrashId","VehicleId","Vehicle Unit Type","Vehicle Unit Type Text Format","Number of Occupants in Vehicle","Make","Vehicle Model Year","Vehicle Model Year Text Format","Model","Vehicle Color","Direction of Travel Before Crash","Direction of Travel Before Crash Text Format","Direction is Unknown","Most Harmful Event","Most Harmful Event Text Format","Vehicle Maneuver/Action","Vehicle Maneuver/Action Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Posted/Statutory Speed Limit","Towed Status","Towed Status Text Format","Trafficway Description","Trafficway Description Text Format","Total Lanes In Roadway","Roadway Alignment","Roadway Alignment Text Format","Roadway Grade","Roadway Grade Text Format","Initial Contact Point","Initial Contact Point Text Format","Extent of Damage","Extent of Damage Text Format","Body Type","Body Type Text Format","Vehicle Action","Vehicle Action Text Format","Contributing Circumstances of Vehicle","Contributing Circumstances of Vehicle Text Format","VIN","Traffic Control Device Type","Traffic Control Device Type Text Format","Traffic Control Device Functional?","Traffic Control Device Functional? Text Format","Sequence of Events 1","Sequence of Events 1 Text Format","Sequence of Events 2","Sequence of Events 2 Text Format","Sequence of Events 3","Sequence of Events 3 Text Format","Sequence of Events 4","Sequence of Events 4 Text Format","Special Function Of Vehicle In Operation","Special Function Of Vehicle In Operation Text Format","Emergency Vehicle Use","Emergency Vehicle Use Text Format","Were Hazardous Materials Released","Were Hazardous Materials Released Text Format","Owner City","Owner State","Owner Country","Owner Postal Code","Owner Information Same As Driver","Hit And Run Status","Towed To","Was Serial Number Missing/Removed","Bike Lanes/Sharrows Present","Name Of Roadway On Which Vehicle Was Traveling","Vehicle Was Not On Roadway","Motor Vehicle Registration State","Motor Vehicle Registration Was Invalid","Motor Vehicle Registration Plate Was Missing","Bus Use","Name Of Issuing Insurance Company","US DOT Number","Carrier Name","Carrier City","Carrier State","Carrier Country","Carrier Postal Code","Carrier Type","Carrier Type Text Format","Power Unit Owner Information Same As Carrier","Power Unit Owner City","Power Unit Owner State","Power Unit Owner Country","Power Unit Owner Postal Code","Gross Vehicle Weight Rating","Gross Vehicle Weight Rating Text Format","Vehicle Configuration","Vehicle Configuration Text Format","Cargo Body Type","Cargo Body Type Text Format","Insurance Expiration Date","Hazardous Materials Placard Display","Hazardous Materials Placard Display Text Format","Hazardou sMaterials Placard Number","Hazardou sMaterials Placard Class Number"
"798566","1","1","Vehicle in Operation","1","unk","","","unk","Silver","","","true","26","Other Non-Fixed Object","1","Straight Ahead","0","None","88","Not Applicable","1","3","Not Towed","88","Not Applicable","1","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","99","Unknown","1","Passenger Car","1","Straight Ahead","0","None","","1","No Control Device","88","Not Applicable","26","Other Non-Fixed Object","8","Ran Off Roadway Right","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","true","","false","false","Parking Lot","false","CT","false","false","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"806377","2","2","Parked Vehicle","0","Subaru","2019","2019","Forester Premium","Silver","N","Northbound","false","22","Motor Vehicle In Motion","12","Parked","0","None","88","Not Applicable","1","3","Not Towed","88","Not Applicable","1","1","Straight","4","Downhill","5","Sector 5 (South by SouthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","12","Parked","0","None","JF2SKAGC2KH477267","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk","CT","","06851","","false","N/a","false","false","Parking lot","true","CT","false","false","1","Allstate Fire and Casualty Insurance Company","","","","","","","","","","","","","","","","","","","","2021-07-16","","","",""
"806377","1","1","Vehicle in Operation","1","Land","2020","2020","Range Ro","Whi      ","N","Northbound","false","23","Parked Vehicle","1","Straight Ahead","97","Other","88","Not Applicable","1","3","Not Towed","88","Not Applicable","1","1","Straight","4","Downhill","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","3","Functional Damage","2","(Sport) Utility Vehicle","1","Straight Ahead","97","Other","SALWR2SU1LA897767   ","1","No Control Device","88","Not Applicable","23","Parked Vehicle","17","Pedestrian","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk","CT","UnitedStates","","","false","N/a","false","false","Parking lot","true","CT","false","false","1","AMS united ohio ins","","","","","","","","","","","","","","","","","","","","2022-03-22","","","",""
"806590","1","1","Vehicle in Operation","1","Honda","2012","2012","Odyssey/LX","Gray","S","Southbound","false","19","Other Non-motorist","7","Turning Left","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","2","Uphill","13","Non-Collision","1","No Damage","3","Passenger Van","7","Turning Left","0","None","5FNRL5H27CB097673","1","No Control Device","88","Not Applicable","26","Other Non-Fixed Object","19","Other Non-motorist","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk","CT","","06854","","false","","false","false","Cedar","false","CT","false","false","1","Progressive Direct Insurance","","","","","","","","","","","","","","","","","","","","2021-06-22","","","",""
"806602","1","1","Vehicle in Operation","1","Nissan","2012","2012","Altima 2.5/2.5 S","Gray","","","true","17","Pedestrian","1","Straight Ahead","99","Unknown","88","Not Applicable","1","3","Not Towed","88","Not Applicable","1","99","Unknown","99","Unknown","3","Sector 3 (East) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","99","Unknown","1N4AL2AP8CN476819","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk        ","CT","","06851","","false","","false","false","Parking lot","true","CT","false","false","1","Government Employees Insurance Company","","","","","","","","","","","","","","","","","","","","2021-09-27","","","",""
"807528","1","1","Vehicle in Operation","1","Toyota","2006","2006","Camry LE/XLE/SE","Gray","E","Eastbound","false","17","Pedestrian","1","Straight Ahead","99","Unknown","88","Not Applicable","1","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","3","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","99","Unknown","4T1BE32K76U134320","3","Traffic Control Signal","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk","CT","","06854","","false","34 Chestnut St.","false","false","Monroe St","false","CT","false","false","1","GEICO Indemnity Company","","","","","","","","","","","","","","","","","","","","2017-11-27","","","",""
"808306","2","1","Vehicle in Operation","3","NISS","2020","2020","ALTIMA","BLK","E","Eastbound","false","23","Parked Vehicle","12","Parked","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","8","Sector 8 (SouthWest) in the 12-point Clock Diagram","3","Functional Damage","1","Passenger Car","12","Parked","0","None","1N4BL4EV7LC152037","1","No Control Device","88","Not Applicable","23","Parked Vehicle","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Derry Nh 03053","","","","","false","","false","false","Flax Hill Rd.","false","NH","false","false","1","Progressive ","","","","","","","","","","","","","","","","","","","","2021-06-29","","","",""
"808306","1","1","Vehicle in Operation","1","Lexus","2004","2004","RX 330","Tan","E","Eastbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","2","Sector 2 (NorthEast) in the 12-point Clock Diagram","3","Functional Damage","1","Passenger Car","1","Straight Ahead","0","None","JTJHA31U840027470","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk        ","CT","","06854","","false","","false","false","Flax Hill Rd.","false","CT","false","false","1","GEICO General Insurance Company","","","","","","","","","","","","","","","","","","","","2021-06-09","","","",""
"810855","1","1","Vehicle in Operation","2","VOLK","","","","Blue","E","Eastbound","false","88","Not Applicable","7","Turning Left","99","Unknown","99","Unknown","88","99","Unknown","1","Two-Way, Not Divided","2","1","Straight","1","Level","99","Unknown","99","Unknown","2","(Sport) Utility Vehicle","7","Turning Left","99","Unknown","","6","Stop Sign","2","Yes","8","Ran Off Roadway Right","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","unknown","","","","","true","","false","false","Hillside Ave.","false","","false","false","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"810855","2","1","Vehicle in Operation","1","Schwinn","","","","Black","N","Northbound","false","18","Pedalcycle/Pedalcyclist","97","Other","99","Unknown","99","Unknown","88","","","1","Two-Way, Not Divided","2","1","Straight","1","Level","8","Sector 8 (SouthWest) in the 12-point Clock Diagram","4","Disabling Damage","","","97","Other","99","Unknown","Unknown","6","Stop Sign","2","Yes","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","","false","","false","false","Sidewalk","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"811915","1","1","Vehicle in Operation","1","jeep","2001","2001","grand cherokee","Black","E","Eastbound","false","17","Pedestrian","3","Backing","0","None","88","Not Applicable","1","3","Not Towed","1","Two-Way, Not Divided","1","1","Straight","1","Level","6","Sector 6 (South) in the 12-point Clock Diagram","1","No Damage","1","Passenger Car","3","Backing","0","None","1J4GW48S21C640554","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk","CT","","06855","","false","","false","false","Westport Avenue","true","CT","false","false","1","The general","","","","","","","","","","","","","","","","","","","","2021-06-01","","","",""
"811939","1","1","Vehicle in Operation","2","Infi","2005","2005","G35","Whi      ","W","Westbound","false","17","Pedestrian","1","Straight Ahead","99","Unknown","99","Unknown","88","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","1","1","Straight","2","Uphill","2","Sector 2 (NorthEast) in the 12-point Clock Diagram","3","Functional Damage","1","Passenger Car","1","Straight Ahead","99","Unknown","JNKCV54E15M412038   ","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk        ","CT","","06854","","true","Parkway Auto","false","false","Couch St.","false","CT","false","false","1","Progressive","","","","","","","","","","","","","","","","","","","","2021-02-22","","","",""
"812407","1","1","Vehicle in Operation","1","Bmw","2019","2019","X5 Xdriv","Black","W","Westbound","false","18","Pedalcycle/Pedalcyclist","6","Turning Right","0","None","88","Not Applicable","30","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","2","Sector 2 (NorthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","6","Turning Right","0","None","5UXCR6C53KLK67999   ","3","Traffic Control Signal","2","Yes","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Hilliard","OH","","","","false","","false","false","Water Street","false","CT","false","false","1","Geico","","","","","","","","","","","","","","","","","","","","2021-11-04","","","",""
"812407","2","1","Vehicle in Operation","1","","","","","","S","Southbound","","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","1","Brakes","","","","","","","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","99","Unknown","","","1","Straight Ahead","0","None","","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","","","","","","","","","","","","","","","","","","","","","","crossing North Water St","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"812450","1","1","Vehicle in Operation","1","Honda","2012","2012","Accord EX","White","E","Eastbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","1","3","Not Towed","5","One-Way Trafficway","1","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","1","No Damage","1","Passenger Car","1","Straight Ahead","0","None","1HGCP2F79CA061159","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk","CT","","06854","","false","","false","false","","true","CT","false","false","1","GEICO Indemnity Company","","","","","","","","","","","","","","","","","","","","2021-12-15","","","",""
"813707","1","1","Vehicle in Operation","3","Dodg","2005","2005","Ram 1500","Whi      ","W","Westbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","88","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","10","Sector 10 (NorthWest) in the 12-point Clock Diagram","1","No Damage","1","Passenger Car","1","Straight Ahead","0","None","1D7HU18D15S196813   ","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk","CT","UnitedStates","","","true","","false","false","W Cedar Street","false","CT","false","false","1","NONE","","","","","","","","","","","","","","","","","","","","","","","",""
"814771","2","1","Vehicle in Operation","1","Unknown","2000","2000","Unknown","Black","S","Southbound","false","18","Pedalcycle/Pedalcyclist","1","Straight Ahead","0","None","0","None","25","","","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","1","No Damage","","","1","Straight Ahead","0","None","Unknown","6","Stop Sign","2","Yes","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","","false","","true","false","Taylor Avenue","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"814771","1","1","Vehicle in Operation","1","Chevrolet","2011","2011","Cruze Ltz","Tan","W","Westbound","false","18","Pedalcycle/Pedalcyclist","7","Turning Left","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","4","Sector 4 (SouthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","7","Turning Left","0","None","1G1PH5S96B7258896","6","Stop Sign","2","Yes","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk","CT","","06854","","false","","false","false","West Couch Street","false","CT","false","false","1","American Family Connect Property and Casualty Insurance Comp","","","","","","","","","","","","","","","","","","","","2021-08-28","","","",""
"815070","1","1","Vehicle in Operation","1","Merc","2020","2020","A 220","Whi      ","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","1","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","0","None","WDD3G4FB3LW037947   ","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","44","Other Post, Pole, or Support","23","Parked Vehicle","33","Curb","1","No Special Function","88","Not applicable","","","Norwalk","CT","","06851","","false","PARKWAY TOWING ","false","true","PARKING LOT","true","CT","false","false","1","Hanover American Insurance","","","","","","","","","","","","","","","","","","","","2022-03-14","","","",""
"815070","3","1","Vehicle in Operation","1","Mazd","2014","2014","Mazda3 T","Gry      ","E","Eastbound","false","22","Motor Vehicle In Motion","11","Slowing","0","None","88","Not Applicable","1","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","5","Sector 5 (South by SouthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","11","Slowing","0","None","JM1BM1V77E1166879   ","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Stamford","CT","","06902","","false","","false","true","","true","CT","false","false","1","Statefarm ","","","","","","","","","","","","","","","","","","","","2021-11-11","","","",""
"815070","2","2","Parked Vehicle","0","Suba","2021","2021","Crosstre","Gry      ","N","Northbound","false","88","Not Applicable","12","Parked","0","None","88","Not Applicable","1","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","8","Sector 8 (SouthWest) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","12","Parked","0","None","JF2GTDNC3MH331101   ","1","No Control Device","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","New Canaan","CT","","06840","","false","PARKWAY TOWING ","false","true","","true","CT","false","false","1","Geico","","","","","","","","","","","","","","","","","","","","2021-09-16","","","",""
"815146","2","1","Vehicle in Operation","1","Hardrock","2000","2000","Specialized","Blue","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","0","None","25","","","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","1","No Damage","","","1","Straight Ahead","0","None","78041agnlphg","6","Stop Sign","2","Yes","22","Motor Vehicle In Motion","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","","","","","","","","","","","","false","","false","false","Lowe Street","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"815146","1","1","Vehicle in Operation","1","Jeep","2019","2019","Grand Cherokee Overl","White","W","Westbound","false","18","Pedalcycle/Pedalcyclist","6","Turning Right","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","2","Minor Damage","2","(Sport) Utility Vehicle","6","Turning Right","0","None","1C4RJFCG8KC678934","6","Stop Sign","2","Yes","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Dallas","TX","","75201","","false","","false","false","Hamilton Ave","false","CT","false","false","1","Allstate Fire and Casualty Insurance Company","","","","","","","","","","","","","","","","","","","","2021-10-12","","","",""
"816467","1","1","Vehicle in Operation","1","Lexus","2012","2012","Rx 350","Gray","E","Eastbound","false","17","Pedestrian","97","Other","0","None","88","Not Applicable","25","3","Not Towed","2","Two-Way, Not Divided, With a Continuous Left Turn Lane","2","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","1","No Damage","1","Passenger Car","97","Other","0","None","2T2BK1BA0CC152638","3","Traffic Control Signal","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Norwalk","CT","","06854","","false","","false","false","Connecticut Ave ","false","CT","false","false","1","United Services Automobile Association  USAA","","","","","","","","","","","","","","","","","","","","2022-03-27","","","",""
