https://www.ctcrash.uconn.edu/QueryTool2.action?qid=180309
"CrashId","VehicleId","PersonId","Age","Gender","Gender Text Format","State","Postal Code","Person Type","Person Type Text Format","Injury Status","Injury Status Text Format","Condition at Time of Crash","Condition at Time of Crash Text Format","Condition at Time of Crash2","Condition at Time of Crash2 Text Format","Action Taken by Officer","Action Taken by Officer Text Format","Alcohol Test Status","Alcohol Test Status Text Format","Type Of Alcohol Test","Type Of Alcohol Test Text Format","Drug Test Status","Drug Test Status Text Format","Type Of Drig Test","Type Of Drig Test Text Format","Ejection Status","Ejection Status Text Format","Restraint System","Restraint System Text Format","Helmet Use","Helmet Use Text Format","Air Bag Status","Air Bag Status Text Format","Speeding Related","Speeding Related Text Format","Driver Actions 1","Driver Actions 1 Text Format","Driver Actions 2","Driver Actions 2 Text Format","Driver Actions 3","Driver Actions 3 Text Format","Driver Actions 4","Driver Actions 4 Text Format","Driver Distracted By","Driver Distracted By Text Format","Roadway On Which Nonmotorist Was Traveling/Located","Direction nonmotorist was traveling","Direction Unknown","Striking Motor Vehicle ID","Bicycle ID","Non-Motorist Not In Roadway","Actions or Circumstances Prior to Crash","Actions or Circumstances Prior to Crash Text Format","To or From School","To or From School Text Format","Actions or Circumstances At Time Of Crash","Actions or Circumstances At Time Of Crash Text Format","Actions or Circumstances At Time Of Crash2","Actions or Circumstances At Time Of Crash2 Text Format","Location At Time Of Crash","Location At Time Of Crash Text Format","Safety Equipment","Safety Equipment Text Format","Safety Equipment2","Safety Equipment2 Text Format","Non-motorist Distracted By","Non-motorist Distracted By Text Format","Seating Position","Seating Position Text Format","Seating Position for Bus","City","Country","Driver License Jurisdiction","Driver License Jurisdiction Text Format","Drivers License Issued By","Drivers License Class","Commercial License Class","Commercial License Class Text Format","Transported to First Medical Facility By","Transported to First Medical Facility By Text Format","Name of the EMS agency","Name of the Intended Receiving Facility"
"781538","","2","77","2","Female","CT","06855","3","Pedestrian","C","Possible Injury (C)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Walmart parking lot ","","true","1","","true","97","Other","1","No","1","No Improper Action","88","Not Applicable","10","Driveway Access","0","None","88","Not Applicable","1","Not Distracted","","","","East Norwalk   ","","2","State","CT","","","","1","Not Transported","",""
"783721","","3","26","1","Male","CT","06851","9","Witness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Norwalk","","","","CT","","","","","","",""
"783721","","2","29","1","Male","CT","","3","Pedestrian","A","Suspected Serious Injury (A)","6","Under the Influence of Medications/Drugs/Alcohol","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Strawberry Hill Avenue","W","false","1","","false","1","Crossing Roadway","1","No","9","Not Visible (Dark Clothing, No Lighting, etc.)","3","Failure to Yield Right-Of-Way","5","Travel Lane-Other Location","0","None","88","Not Applicable","1","Not Distracted","","","","Norwalk","UnitedStates","88","Not applicable","","","","","3","EMS Ground","Norwalk Hospital EMS","Norwalk Hospital"
"783721","1","1","19","2","Female","CT","06851","1","Driver","O","No Apparent Injury (O)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","1","Not Ejected","1","Shoulder and Lap Belt Used","88","Not Applicable","1","Not Deployed","1","No","1","No Contributing Action","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","Not Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left Seat","","Norwalk        ","","2","State","CT","4","1","No","1","Not Transported","",""
"787859","","3","41","1","Male","CT","06854","9","Witness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Norwalk","UnitedStates","","","CT","","","","","","",""
"787859","","2","25","1","Male","CT","","3","Pedestrian","A","Suspected Serious Injury (A)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","West Cedar St.","W","false","1","","false","3","Walking/Cycling along Roadway Along Traffic (In or Adjacent to Travel Lane)","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","99","Unknown","5","Travel Lane-Other Location","0","None","0","None","99","Unknown if Distracted","","","","Norwalk","UnitedStates","","","99","","","","3","EMS Ground","Norwalk EMS","Norwalk Hospital"
"787859","1","1","","99","Unknown","","","1","Driver","O","No Apparent Injury (O)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","1","Not Ejected","99","Unknown","88","Not Applicable","99","Unknown","99","Unknown","99","Unknown","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown if Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left Seat","","unknown","","2","State","99","99","1","No","1","Not Transported","",""
"791793","1","2","6","1","Male","CT","06850","2","Passenger","O","No Apparent Injury (O)","","","","","","","","","","","","","","","1","Not Ejected","5","Child Restraint System, Forward Facing","88","Not Applicable","1","Not Deployed","","","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","","","","","21","Second Row, Left Seat","","NORWALK","","","","","","","","1","Not Transported","",""
"791793","1","1","33","2","Female","CT","06850","1","Driver","O","No Apparent Injury (O)","1","Apparently Normal","88","Not Applicable","1","Verbal Warning","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","1","Not Ejected","1","Shoulder and Lap Belt Used","88","Not Applicable","1","Not Deployed","1","No","97","Other Contributing Action","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","Not Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left Seat","","Norwalk","","2","State","CT","4","1","No","1","Not Transported","",""
"791793","","3","64","2","Female","CT","06851","3","Pedestrian","B","Suspected Minor Injury (B)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Main Ave","W","false","1","","false","1","Crossing Roadway","1","No","1","No Improper Action","88","Not Applicable","4","Midblock-Marked Crosswalk","0","None","0","None","5","Other Activity, Electronic Device","","","","Norwalk","","88","Not applicable","CT","","","","3","EMS Ground","Norwalk Hospital EMS","Norwalk Hospital"
"794853","","2","57","1","Male","CT","06854","3","Pedestrian","C","Possible Injury (C)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Backing on 28 MLK Dr property","S","false","1","","false","99","Unknown","1","No","99","Unknown","99","Unknown","97","Other","0","None","0","None","99","Unknown if Distracted","","","","Norwalk        ","","2","State","CT","","","","1","Not Transported","",""
"794853","1","1","36","1","Male","MD","20901","1","Driver","O","No Apparent Injury (O)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","1","Not Ejected","99","Unknown","88","Not Applicable","1","Not Deployed","1","No","9","Improper Backing","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown if Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left Seat","","Silver Spring","","2","State","MD","3","1","No","1","Not Transported","",""
"797130","1","1","31","99","Unknown","CT","06854","1","Driver","O","No Apparent Injury (O)","99","Unknown","88","Not Applicable","1","Verbal Warning","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","1","Not Ejected","99","Unknown","88","Not Applicable","1","Not Deployed","99","Unknown","3","Failed to Yield Right-of-Way","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown if Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left Seat","","Norwalk","","2","State","CT","4","1","No","1","Not Transported","",""
"797130","","2","61","2","Female","CT","","3","Pedestrian","B","Suspected Minor Injury (B)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","taylor","N","false","1","","false","1","Crossing Roadway","1","No","1","No Improper Action","88","Not Applicable","1","Intersection-Marked Crosswalk","0","None","88","Not Applicable","99","Unknown if Distracted","","","","Norwalk","UnitedStates","1","Not Licensed","CT","","","","3","EMS Ground","norwalk","NORWALK"
"798566","1","1","","99","Unknown","","","1","Driver","O","No Apparent Injury (O)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","1","Not Ejected","99","Unknown","88","Not Applicable","99","Unknown","1","No","2","Ran Off Roadway","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown if Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left Seat","","","","2","State","CT","99","1","No","1","Not Transported","",""
"798566","","2","52","1","Male","CT","06855","3","Pedestrian","C","Possible Injury (C)","1","Apparently Normal","1","Apparently Normal","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","parking lot","","true","1","","true","97","Other","1","No","1","No Improper Action","1","No Improper Action","97","Other","0","None","0","None","1","Not Distracted","","","","Norwalk","","","","CT","","","","1","Not Transported","",""
"806377","","2","28","2","Female","CT","","3","Pedestrian","C","Possible Injury (C)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Parking Lot of #186 Westport Ave","N","false","1","","true","97","Other","1","No","1","No Improper Action","88","Not Applicable","97","Other","0","None","88","Not Applicable","7","Other, Outside Vehicle","","","","Norwalk","UnitedStates","88","Not applicable","CT","","","","3","EMS Ground","NHEMS","Norwalk Hospital"
"806377","1","1","","99","Unknown","","","1","Driver","O","No Apparent Injury (O)","97","Other","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","1","Not Ejected","97","Other","88","Not Applicable","1","Not Deployed","1","No","97","Other Contributing Action","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","Not Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left Seat","","","","2","State","","0","1","No","1","Not Transported","",""
"806590","","2","77","2","Female","CT","06854","3","Pedestrian","C","Possible Injury (C)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Elmwood","S","false","1","","false","1","Crossing Roadway","1","No","1","No Improper Action","1","No Improper Action","1","Intersection-Marked Crosswalk","0","None","0","None","99","Unknown if Distracted","","","","South Norwalk","","","","CT","","","","3","EMS Ground","Norwalk EMS","Norwalk"
"806590","1","1","48","1","Male","CT","06854","1","Driver","O","No Apparent Injury (O)","1","Apparently Normal","88","Not Applicable","3","Infraction","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","1","Not Ejected","1","Shoulder and Lap Belt Used","88","Not Applicable","1","Not Deployed","1","No","3","Failed to Yield Right-of-Way","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown if Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left Seat","","Norwalk","","2","State","CT","4","1","No","1","Not Transported","",""
"806602","1","1","63","1","Male","CT","06851","1","Driver","O","No Apparent Injury (O)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","1","Not Ejected","99","Unknown","88","Not Applicable","1","Not Deployed","1","No","1","No Contributing Action","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown if Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left Seat","","Norwalk","","2","State","CT","4","1","No","1","Not Transported","",""
"806602","","2","74","1","Male","CT","06853","3","Pedestrian","B","Suspected Minor Injury (B)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","parking lot","","true","1","","false","97","Other","1","No","8","Inattentive (Talking, Eating, etc.)","8","Inattentive (Talking, Eating, etc.)","12","Non-Trafficway Area","0","None","0","None","99","Unknown if Distracted","","","","Rowayton       ","","2","State","CT","","","","1","Not Transported","",""
"807528","","2","47","1","Male","CT","06811","3","Pedestrian","B","Suspected Minor Injury (B)","1","Apparently Normal","88","Not Applicable","2","Written Warning","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Monroe St","E","false","1","","false","1","Crossing Roadway","1","No","4","Failure to Obey Traffic Signs, Signals, or Officer","88","Not Applicable","1","Intersection-Marked Crosswalk","0","None","0","None","1","Not Distracted","","","","Danbury","UnitedStates","","","","","","","3","EMS Ground","Norwalk Hospital","Norwalk Hospital"
"807528","","3","45","1","Male","CT","06804","9","Witness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Brookfield     ","","","","CT","","","","","","",""
"807528","1","1","66","1","Male","CT","06854","1","Driver","O","No Apparent Injury (O)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","1","Not Ejected","1","Shoulder and Lap Belt Used","88","Not Applicable","1","Not Deployed","99","Unknown","1","No Contributing Action","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown if Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left Seat","","Norwalk","","2","State","CT","4","1","No","1","Not Transported","",""
"808306","1","1","77","2","Female","CT","06854","1","Driver","O","No Apparent Injury (O)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","1","Not Ejected","4","Restraint Used, Type Unknown","88","Not Applicable","1","Not Deployed","99","Unknown","1","No Contributing Action","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown if Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left Seat","","Norwalk        ","","2","State","CT","2","1","No","1","Not Transported","",""
"808306","2","2","26","2","Female","FL","33162","1","Driver","O","No Apparent Injury (O)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","1","Not Ejected","4","Restraint Used, Type Unknown","88","Not Applicable","1","Not Deployed","1","No","1","No Contributing Action","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown if Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left Seat","","North Miami Beach","","2","State","FL","2","1","No","1","Not Transported","",""
"808306","2","3","5","1","Male","CT","","2","Passenger","O","No Apparent Injury (O)","","","","","","","","","","","","","","","1","Not Ejected","4","Restraint Used, Type Unknown","88","Not Applicable","1","Not Deployed","","","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","","","","","23","Second Row, Right Seat","","Norwalk","UnitedStates","","","CT","","","","1","Not Transported","",""
"808306","2","4","0","2","Female","CT","","2","Passenger","O","No Apparent Injury (O)","","","","","","","","","","","","","","","1","Not Ejected","5","Child Restraint System, Forward Facing","88","Not Applicable","1","Not Deployed","","","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","","","","","22","Second Row, Middle Seat","","Norwalk","UnitedStates","","","CT","","","","1","Not Transported","",""
"808306","","5","53","2","Female","CT","","3","Pedestrian","C","Possible Injury (C)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Flax Hill Rd.","","true","1","","false","97","Other","1","No","99","Unknown","99","Unknown","7","Shoulder/Roadside","0","None","0","None","99","Unknown if Distracted","","","","Norwalk","UnitedStates","99","Unknown","CT","","","","3","EMS Ground","norwalk","norwalk ER"
"810855","1","1","","1","Male","","","1","Driver","O","No Apparent Injury (O)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","1","Not Ejected","99","Unknown","88","Not Applicable","99","Unknown","99","Unknown","2","Ran Off Roadway","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown if Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left Seat","","unknown","","2","State","99","99","1","No","1","Not Transported","",""
"810855","","4","18","1","Male","CT","","9","Witness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Norwalk","","","","99","","","","","","",""
"810855","","3","19","1","Male","CT","","5","Bicyclist","C","Possible Injury (C)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Taylor Ave./Hillside St.","E","false","1","2","true","5","Walking/Cycling on Sidewalk","1","No","1","No Improper Action","1","No Improper Action","8","Sidewalk","0","None","0","None","99","Unknown if Distracted","","","","Norwalk","UnitedStates","","","99","","","","1","Not Transported","",""
"810855","1","2","","2","Female","CT","","2","Passenger","O","No Apparent Injury (O)","","","","","","","","","","","","","","","1","Not Ejected","99","Unknown","88","Not Applicable","99","Unknown","","","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","","","","","13","First Row, Right Seat","","Norwalk","UnitedStates","","","99","","","","1","Not Transported","",""
"811915","","2","40","2","Female","","","3","Pedestrian","C","Possible Injury (C)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Westport Avenue","E","false","1","","true","2","Waiting to Cross Roadway","1","No","99","Unknown","88","Not Applicable","97","Other","0","None","88","Not Applicable","99","Unknown if Distracted","","","","derby","UnitedStates","","","CT","","","","1","Not Transported","",""
"811915","1","1","30","2","Female","CT","06855","1","Driver","O","No Apparent Injury (O)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","1","Not Ejected","1","Shoulder and Lap Belt Used","88","Not Applicable","1","Not Deployed","99","Unknown","1","No Contributing Action","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown if Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left Seat","","Norwalk","","2","State","CT","4","1","No","1","Not Transported","",""
"811939","1","2","43","1","Male","CT","06854","2","Passenger","O","No Apparent Injury (O)","","","","","","","","","","","","","","","1","Not Ejected","99","Unknown","88","Not Applicable","1","Not Deployed","","","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","","","","","13","First Row, Right Seat","","Norwalk        ","","","","CT","","","","1","Not Transported","",""
"811939","","3","36","1","Male","CT","","3","Pedestrian","B","Suspected Minor Injury (B)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","couch St.","W","false","1","","false","6","In Roadway - Other","1","No","1","No Improper Action","1","No Improper Action","7","Shoulder/Roadside","0","None","0","None","99","Unknown if Distracted","","","","Norwalk","UnitedStates","","","CT","","","","3","EMS Ground","Norwalk EMS","NORWALK HOSPITAL"
"811939","1","1","33","1","Male","CT","06854","1","Driver","O","No Apparent Injury (O)","6","Under the Influence of Medications/Drugs/Alcohol","88","Not Applicable","4","Arrest/Summons","3","Test Given","3","Breath","1","Test Not Given","88","Not Applicable","1","Not Ejected","99","Unknown","88","Not Applicable","1","Not Deployed","4","Too Fast for Conditions","15","Operated Motor Vehicle in Inattentive, Careless, Negligent, or Erratic Manner","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown if Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left Seat","","Norwalk        ","","2","State","CT","4","1","No","1","Not Transported","",""
"812407","1","1","56","1","Male","CT","","1","Driver","O","No Apparent Injury (O)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","1","Not Ejected","1","Shoulder and Lap Belt Used","88","Not Applicable","1","Not Deployed","1","No","1","No Contributing Action","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","Not Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left Seat","","SOUTHPORT","UnitedStates","2","State","CT","4","1","No","1","Not Transported","",""
"812407","","2","11","1","Male","CT","","5","Bicyclist","B","Suspected Minor Injury (B)","1","Apparently Normal","88","Not Applicable","1","Verbal Warning","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","West Avenue","S","false","1","2","false","1","Crossing Roadway","1","No","3","Failure to Yield Right-Of-Way","88","Not Applicable","1","Intersection-Marked Crosswalk","0","None","88","Not Applicable","99","Unknown if Distracted","","","","Norwalk","UnitedStates","88","Not applicable","CT","","","","3","EMS Ground","norwalk paramedics","norwalk hospital"
